Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation
10,3,55.33,57.08,okay so the red is ten grams?,,
14,1,60.67,65.67,let's assume [that] the bigger ones are,,[-]
15,2,66.58,70,let's put two yeah red one as well,"a1-GreenBlock, a2-RedBlock, a72-BlueBlock, a126-BlueBlock, a127-GreenBlock, a128-RedBlock",
16,1,68.25,69.5,we can put [that] other one here too,,[r]
20,3,79.58,82.08,i guess [this] is like twenty and [this] is like ten and ten,,[g] [rb]
22,3,82.97,87.91,i mean what why didn't we first check out whether [these] two are equal [they] are of equal size but,,[rb] [rb]
24,2,87.41,90.17,[they]'re the same uhhhh just don't want to touch [it],"a3-GreenBlock, a73-BlueBlock, a129-GreenBlock, a130-BlueBlock",[rb] [-]
25,3,96.5,98,[it] looks like [they]'re fairly equal,,[-] [rb]
27,3,100.84,102.85,right so then [that]'s twenty [these] two are ten,,[g] [rb]
29,1,104.59,106.59,[that] would make sense to me,,[-]
30,2,108.83,110.92,just a sec let [it] settle for the,,[-]
34,2,117.46,118.87,yeah [they]'re together,,[rb]
35,3,119.75,128.25,alright well now let's do [these] two i can already tell [this] one's heavier yeah,,[gp] [p]
36,2,119.75,129.84,yeah [they]'re [they]'re equal heavier so let's put the ten one ten,"a4-PurpleBlock, a5-YellowBlock, a75-RedBlock, a76-GreenBlock, a77-RedBlock, a119-BlueBlock, a132-None, a133-GreenBlock, a134-None, a135-RedBlock",[gp] [gp]
40,1,136.34,142.91,i say [they] are equal [those] are the instructions i suppose,"a6-BlueBlock, a136-BlueBlock",[grp] [grp]
44,3,146.28,150.25,try [this] one out as well like after some time wait wait wait let's let's see if [it] balances,,[b] [-]
46,3,151.46,153,cause i have a feeling [this] is a little more,,[p]
49,3,166.41,167.67,like you would be able to see [it] right?,,[-]
52,2,180.78,202.56,i'm guessing [it]'s a little bit to the left a little bit to the left like [it] touches the red line but on the left hand side of the left line red [it]'s gonna be heavier like not equal but almost almost equal how do wait how do we know [this] one's twenty did we no we didn't,a137-BlueBlock,[-] [-] [rbg] [g]
53,3,184.06,202.21,yeah so let's try to put [that] on top and see okay so [it]'s definitely not like fourty like thirty two thirty three what do you say cause [this] one's twenty [this] one's ten cause we did [it],a7-BlueBlock,[b] [-] [g] [r] [-]
54,2,203.33,216.41,we we moved [it] and checked the two tens remember we didn't do [this] one okay yeah sure sure sure yeah yeah put thirty thirty yeah,"a8-GreenBlock, a78-YellowBlock, a138-GreenBlock",[g] [g]
56,1,208.39,212.15,to begin with also like we don't really have time to do [this],,[-]
59,1,223,225,um you know what let's try [this],"a10-GreenBlock, a11-PurpleBlock, a80-YellowBlock",[-]
62,1,234.11,235.39,do [these] make sense,,[gpy]
63,2,247.61,254.24,so [this] one's thirty and what's [this] one twenty right twenty okay so [this] one's gonna be fifty okay,,[p] [g] [y]
67,3,263.83,268.91,i mean [it]'s not gonna go anywhere i guess [it]'s just oh,,[-] [-]
68,2,265.91,269.13,[it]'s more tilting to the right so less than fifty,,[-]
72,2,278.32,281.31,just a sec let [this] settle now yeah,a13-RedBlock,[-]
73,3,280.08,283.33,[this] is gonna be too heavy i think [this] is around yeah,,[-] [-]
74,2,283.84,286.57,[this] is like less than fifty less than fifty,,[y]
76,3,286.92,290.71,like if [those] are more than fifty then [this] is less yeah,,[gp] [y]
78,3,295.5,301.5,i guess we're done huh i just want to feel [it] though i really want to see if [it]'s the heaviest,a14-BlueBlock,[y] [y]
80,3,302.51,307.26,should i oh yeah [this] is fifty grams,"a15-YellowBlock, a81-GreenBlock, a140-YellowBlock, a141-GreenBlock",[y]
81,2,303,305,yeah yeah [it]'s [it]'s almost settled down so [it]'s less than fifty,,[-] [-] [y]
82,1,307.81,312.48,so [this] was thirty right thirty [this] was twenty and [these] are tens,"a16-GreenBlock, a82-PurpleBlock",[p] [g] [rb]
85,2,312.89,313.67,and [that]'s fifty,"a17-BlueBlock, a83-YellowBlock",[y]
87,2,316.91,319.14,tens yeah so [that]'s [it],,[-] [-]
91,1,323.25,324.18,[this] mandate,,[-]
92,1,327.82,333.09,what are we supposed to do we are supposed do we are supposed to enter [it] in the laptop,,[-]
93,3,329.82,334.59,do you have more blocks or i think we're done here oh okay let's do [that],,[-]
96,3,342.68,349,okay now help me out fifty okay green,,
97,2,343.5,350.5,so the yellow one's fifty yeah green wait green's twenty,,
100,1,353.34,355.84,and [they]'re two blue,,[-]
101,2,355.32,359.09,tens tens are blue blue and red yup,,
102,3,359.57,365.67,blue and reds well [they] don't have the right uh purple thirty right yeah alright let's do [it],,[-] [-]
103,2,361.92,363.41,purple's [this] one thirty,,[p]
104,1,366.42,373.25,you know what like i feel [that] is [this] what the other thing too is purple because blue and red makes purple right,"a18-RedBlock, a84-BlueBlock",[-] [br]
105,3,373.75,382.59,no i think [this] is [this] is the one which is purple oh,,[p] [p]
106,2,374,383.09,no no no no so like [they] gave the weight of [this] one [they] gave the weight of the red one so [that]'s why [they] didn't include [this] one [they] already gave us yeah,a19-RedBlock,[-] [r] [-] [-] [-] [r] [-]
108,3,383.74,386.09,lets go ahead and hit [this],,[-]
