,Utterance,Participant,Start,End,Transcript,Action_Objects,Annotation,DPed
0,10,3,55.33,57.08,okay so the red is ten grams?,,,okay so the red is ten grams?
1,14,1,60.67,65.67,let's assume [that] the bigger ones are,,[-],let's assume that the bigger ones are
2,15,2,66.58,70.0,let's put two yeah red one as well,"a1-GreenBlock, a2-RedBlock, a72-BlueBlock, a126-BlueBlock, a127-GreenBlock, a128-RedBlock",,let's put two yeah red one as well
3,16,1,68.25,69.5,we can put [that] other one here too,,[r],we can put red block other one here too
4,20,3,79.58,82.08,i guess [this] is like twenty and [this] is like ten and ten,,[g] [rb],"i guess green block is like twenty and red block, blue block is like ten and ten"
5,22,3,82.97,87.91,i mean what why didn't we first check out whether [these] two are equal [they] are of equal size but,,[rb] [rb],"i mean what why didn't we first check out whether red block, blue block two are equal red block, blue block are of equal size but"
6,24,2,87.41,90.17,[they]'re the same uhhhh just don't want to touch [it],"a3-GreenBlock, a73-BlueBlock, a129-GreenBlock, a130-BlueBlock",[rb] [-],"red block, blue block're the same uhhhh just don't want to touch it"
7,25,3,96.5,98.0,[it] looks like [they]'re fairly equal,,[-] [rb],"it looks like red block, blue block're fairly equal"
8,27,3,100.84,102.85,right so then [that]'s twenty [these] two are ten,,[g] [rb],"right so then green block's twenty red block, blue block two are ten"
9,29,1,104.59,106.59,[that] would make sense to me,,[-],that would make sense to me
10,30,2,108.83,110.92,just a sec let [it] settle for the,,[-],just a sec let it settle for the
11,34,2,117.46,118.87,yeah [they]'re together,,[rb],"yeah red block, blue block're together"
12,35,3,119.75,128.25,alright well now let's do [these] two i can already tell [this] one's heavier yeah,,[gp] [p],"alright well now let's do green block, purple block two i can already tell purple block one's heavier yeah"
13,36,2,119.75,129.84,yeah [they]'re [they]'re equal heavier so let's put the ten one ten,"a4-PurpleBlock, a5-YellowBlock, a75-RedBlock, a76-GreenBlock, a77-RedBlock, a119-BlueBlock, a132-None, a133-GreenBlock, a134-None, a135-RedBlock",[gp] [gp],"yeah green block, purple block're green block, purple block're equal heavier so let's put the ten one ten"
14,40,1,136.34,142.91,i say [they] are equal [those] are the instructions i suppose,"a6-BlueBlock, a136-BlueBlock",[grp] [grp],"i say green block, red block, purple block are equal green block, red block, purple block are the instructions i suppose"
15,44,3,146.28,150.25,try [this] one out as well like after some time wait wait wait let's let's see if [it] balances,,[b] [-],try blue block one out as well like after some time wait wait wait let's let's see if it balances
16,46,3,151.46,153.0,cause i have a feeling [this] is a little more,,[p],cause i have a feeling purple block is a little more
17,49,3,166.41,167.67,like you would be able to see [it] right?,,[-],like you would be able to see it right?
